progression_order,rank_number,name_lt,badge_file,subtier_order
1,50,Atvykėlis,rank-50-atvykelis.png,Bronze > Silver > Gold
2,49,Pelenų klajūnas,rank-49-pelenu-klajunas.png,Bronze > Silver > Gold
3,48,Priesaikos davėjas,rank-48-priesaikos-davejas.png,Bronze > Silver > Gold
4,47,Karo mokinys,rank-47-karo-mokinys.png,Bronze > Silver > Gold
5,46,Skydo nešėjas,rank-46-skydo-nesejas.png,Bronze > Silver > Gold
6,45,Ašmenų mokinys,rank-45-asmenu-mokinys.png,Bronze > Silver > Gold
7,44,Pirmojo kraujo karys,rank-44-pirmojo-kraujo-karys.png,Bronze > Silver > Gold
8,43,Išbandytasis,rank-43-isbandytasis.png,Bronze > Silver > Gold
9,42,Arenos kovotojas,rank-42-arenos-kovotojas.png,Bronze > Silver > Gold
10,41,Geležies kumštis,rank-41-gelezies-kumstis.png,Bronze > Silver > Gold
11,40,Nakties sargas,rank-40-nakties-sargas.png,Bronze > Silver > Gold
12,39,Kautynių žinovas,rank-39-kautyniu-zinovas.png,Bronze > Silver > Gold
13,38,Mūšio karys,rank-38-musio-karys.png,Bronze > Silver > Gold
14,37,Vėliavos gynėjas,rank-37-veliavos-gynejas.png,Bronze > Silver > Gold
15,36,Plieno karys,rank-36-plieno-karys.png,Bronze > Silver > Gold
16,35,Kraujo užgrūdintas,rank-35-kraujo-uzgrudintas.png,Bronze > Silver > Gold
17,34,Arenos veteranas,rank-34-arenos-veteranas.png,Bronze > Silver > Gold
18,33,Mūšio sargas,rank-33-musio-sargas.png,Bronze > Silver > Gold
19,32,Priesaikos riteris,rank-32-priesaikos-riteris.png,Bronze > Silver > Gold
20,31,Geležinis riteris,rank-31-gelezinis-riteris.png,Bronze > Silver > Gold
21,30,Kardų žinovas,rank-30-kardu-zinovas.png,Bronze > Silver > Gold
22,29,Skydo žinovas,rank-29-skydo-zinovas.png,Bronze > Silver > Gold
23,28,Kovų medžiotojas,rank-28-kovu-medziotojas.png,Bronze > Silver > Gold
24,27,Lauko taktikas,rank-27-lauko-taktikas.png,Bronze > Silver > Gold
25,26,Karo taktikas,rank-26-karo-taktikas.png,Bronze > Silver > Gold
26,25,Pergalių kalvis,rank-25-pergaliu-kalvis.png,Bronze > Silver > Gold
27,24,Vėliavnešys,rank-24-veliavanesys.png,Bronze > Silver > Gold
28,23,Būrio vadas,rank-23-burio-vadas.png,Bronze > Silver > Gold
29,22,Arenos kapitonas,rank-22-arenos-kapitonas.png,Bronze > Silver > Gold
30,21,Karo kapitonas,rank-21-karo-kapitonas.png,Bronze > Silver > Gold
31,20,Mūšio meistras,rank-20-musio-meistras.png,Bronze > Silver > Gold
32,19,Plieno meistras,rank-19-plieno-meistras.png,Bronze > Silver > Gold
33,18,Arenos maršalas,rank-18-arenos-marsalas.png,Bronze > Silver > Gold
34,17,Kovų valdovas,rank-17-kovu-valdovas.png,Bronze > Silver > Gold
35,16,Ravenoro riteris,rank-16-ravenoro-riteris.png,Bronze > Silver > Gold
36,15,Ravenoro taktikas,rank-15-ravenoro-taktikas.png,Bronze > Silver > Gold
37,14,Ravenoro strategas,rank-14-ravenoro-strategas.png,Bronze > Silver > Gold
38,13,Vėliavų vadas,rank-13-veliavu-vadas.png,Bronze > Silver > Gold
39,12,Arenos vadas,rank-12-arenos-vadas.png,Bronze > Silver > Gold
40,11,Karo vadas,rank-11-karo-vadas.png,Bronze > Silver > Gold
41,10,Didysis taktikas,rank-10-didysis-taktikas.png,Bronze > Silver > Gold
42,9,Didysis strategas,rank-09-didysis-strategas.png,Bronze > Silver > Gold
43,8,Arenos meistras,rank-08-arenos-meistras.png,Bronze > Silver > Gold
44,7,Karo meistras,rank-07-karo-meistras.png,Bronze > Silver > Gold
45,6,Ravenoro maršalas,rank-06-ravenoro-marsalas.png,Bronze > Silver > Gold
46,5,Legendų varžovas,rank-05-legendu-varzovas.png,Bronze > Silver > Gold
47,4,Čempionų siaubas,rank-04-cempionu-siaubas.png,Bronze > Silver > Gold
48,3,Ravenoro čempionas,rank-03-ravenoro-cempionas.png,Bronze > Silver > Gold
49,2,Vainikuotasis,rank-02-vainikuotasis.png,Bronze > Silver > Gold
50,1,Ravenoro legenda,rank-01-ravenoro-legenda.png,Bronze > Silver > Gold
